3.4.2+a4:e9:b0:80:76:c0+3.4.4,3.4.0+100+40
1.2.2+b5:10:a3:20:50:cc+1.2.0,1.2.4+120+60
5.1.5+b4:e9:b0:80:76:c0+5.1.4,5.1.6+400+10
5.1.5+14:cc:20:6e:28:82+5.1.4,5.1.6+10+5
5.1.5+04:da:d2:cf:ca:40+5.1.4,5.1.6+400+5
5.1.4+b4:e9:b0:80:76:c0+5.1.3,5.1.6+300+10
5.1.4+14:cc:20:6e:28:82+5.1.3,5.1.6+500+5
5.1.4+04:da:d2:cf:ca:40+5.1.3,5.1.6+500+5
3.1.5+b4:e9:b0:80:76:c0+5.1.4,5.1.6+400+10
3.1.5+14:cc:20:6e:28:82+5.1.4,5.1.6+10+5
3.1.5+04:da:d2:cf:ca:40+5.1.4,5.1.6+400+5
1.1.2+00:1c:a8:84:f6:7d+1.1.0,1.1.4+35+0
1.1.2+18:28:61:d8:a8:a3+1.1.0,1.1.4+60+30
1.1.2+88:41:fc:25:97:76+1.1.0,1.1.4+150+80
1.1.2+5c:f4:ab:44:d5:a4+1.1.0,1.1.4+150+80
1.1.2+18:28:61:99:02:71+1.1.0,1.1.4+200+100
1.1.9+00:1c:a8:84:f6:7d+1.1.7,1.1.11+40+10
1.1.9+18:28:61:d8:a8:a3+1.1.7,1.1.11+100+0
1.1.9+c8:02:10:b0:0d:e6+1.1.7,1.1.11+100+0
1.1.9+2c:ae:2b:47:42:d2+1.1.7,1.1.11+100+0
1.1.9+90:9f:33:ff:0b:fe+1.1.7,1.1.11+150+50
1.1.11+18:28:61:d8:a8:a3+1.1.9,1.1.13+50+0
1.1.11+00:1c:a8:84:f6:7d+1.1.9,1.1.13+70+20
1.1.11+5c:f4:ab:44:d5:a4+1.1.9,1.1.13+80+30
1.1.11+18:28:61:99:02:71+1.1.9,1.1.13+90+40
1.1.11+18:28:61:5a:4d:5b+1.1.9,1.1.13+90+40
1.1.13+5c:f4:ab:44:d5:a4+1.1.11,1.1.15+60+10
1.1.13+18:28:61:5a:4d:5b+1.1.11,1.1.15+60+10
1.1.13+18:28:61:99:02:71+1.1.11,1.1.15+80+30
1.1.13+18:28:61:b9:cf:7a+1.1.11,1.1.15+80+50
1.1.13+74:ea:3a:d2:58:f0+1.1.11,1.1.15+80+50
1.1.15+18:28:61:99:02:71+1.1.13,1.1.17+30+0
1.1.15+18:28:61:b9:cf:7a+1.1.13,1.1.17+70+30
